album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Stars Dance (Bonus Track Version),2,2OsEJFTfzfjG4oC92cuP2c,Slow Down,spotify:track:2OsEJFTfzfjG4oC92cuP2c,0.073,0.722,0.821,0.0,0.631,-3.856,0.165,127.944,0.721,66
Stars Dance (Bonus Track Version),3,2MTMeQZLVI9yiZIXsCbzGi,Stars Dance,spotify:track:2MTMeQZLVI9yiZIXsCbzGi,0.00346,0.443,0.886,0.0,0.111,-3.802,0.0921,109.966,0.26,50
Stars Dance (Bonus Track Version),4,6vftvAdsEAAJTGQrUmHnei,Like A Champion,spotify:track:6vftvAdsEAAJTGQrUmHnei,0.0736,0.705,0.903,0.0,0.185,-4.091,0.118,90.001,0.935,52
Stars Dance (Bonus Track Version),5,6LoQHIo74tOzQ8EsLEkhgF,Come & Get It,spotify:track:6LoQHIo74tOzQ8EsLEkhgF,0.0101,0.546,0.787,0.00021,0.0809,-4.1,0.0517,79.979,0.573,68
Stars Dance (Bonus Track Version),6,7D39d96OheT62fgxoGaElz,Forget Forever,spotify:track:7D39d96OheT62fgxoGaElz,0.178,0.507,0.959,2.22e-05,0.0746,-3.6,0.172,125.985,0.229,44
Stars Dance (Bonus Track Version),7,594fJDaRhC2bcHilqoc8U4,Save The Day,spotify:track:594fJDaRhC2bcHilqoc8U4,0.00115,0.666,0.836,2.22e-05,0.132,-3.599,0.036,119.995,0.531,50
Stars Dance (Bonus Track Version),8,5KzBPwPBbMKQwK9OFOwBtV,B.E.A.T.,spotify:track:5KzBPwPBbMKQwK9OFOwBtV,0.0131,0.894,0.597,0.00138,0.0969,-7.039,0.0524,128.031,0.665,44
Stars Dance (Bonus Track Version),9,7xWZ6yrBuZF3E9iYnUNs3C,Write Your Name,spotify:track:7xWZ6yrBuZF3E9iYnUNs3C,0.00415,0.629,0.755,1.11e-05,0.207,-4.759,0.0466,118.995,0.379,42
Stars Dance (Bonus Track Version),10,3RrJTOClOgMAc9FQ7QDwv7,Undercover,spotify:track:3RrJTOClOgMAc9FQ7QDwv7,0.0148,0.633,0.683,0.00028,0.129,-6.61,0.119,128.0,0.734,52
Stars Dance (Bonus Track Version),11,0OkJtCF6yQIdK11ge58uXD,Love Will Remember,spotify:track:0OkJtCF6yQIdK11ge58uXD,0.0132,0.634,0.956,0.0,0.0978,-4.143,0.152,109.979,0.33,59
Stars Dance (Bonus Track Version),12,3PVor2DGqdPBqGNcQX60fD,Nobody Does It Like You - Bonus Track,spotify:track:3PVor2DGqdPBqGNcQX60fD,0.0737,0.613,0.86,0.0,0.172,-4.358,0.0485,130.007,0.462,42
Stars Dance (Bonus Track Version),13,7qjWYlQwqMwgxJb2PbFXhU,Music Feels Better - Bonus Track,spotify:track:7qjWYlQwqMwgxJb2PbFXhU,0.0712,0.597,0.657,0.0,0.255,-4.909,0.0701,127.071,0.537,40
